num,amount,buySum,sellSum,buySpread,sellSpread,spreadSum,maxPrice,minPrice,layerBidPrice,layerBidAmount,layerAskPrice,layerAskAmount,imbalance,bid1,ask1,position
187,10.78,10163.081400000001,1862.7519,13.046449855295945,-15.55888888888818,-2.512439033592234,1116.21,1115,0,0,0,0,-39.36,1115.06,1115.5,0
188,12.98,6813.491,7659.4030999999995,26.85571419322049,-6.878716112624399,19.97699808059609,1115.51,1114.43,0,0,0,0,-31.139999999999997,1114.38,1114.97,0
189,15.919999999999996,8516.329499999998,9224.327899999998,21.593164363335315,-58.53087126035806,-36.93770689702275,1114.98,1113.49,0,0,0,0,-35.8,1113.11,1113.88,0
190,33.51,21232.884999999995,16071.031600000004,30.911779424185397,-50.775685035166845,-19.863905610981416,1114.34,1111.93,0,0,0,0,5.109999999999998,1112.25,1113.13,0
191,9.870000000000001,7055.765299999999,3927.7755999999995,13.854244282374758,-66.39066576696827,-52.53642148459351,1113.94,1111.94,0,0,1115.67,10,39.68,1114.27,1114.91,0
192,4.17,1470.7992000000002,3175.2877999999996,62.50078431372627,-4.446549707602264,58.054234606124005,1114.59,1113.74,0,0,1115,4.48,45.82000000000001,1114.5,1115,0
193,13.049999999999999,11470.5149,3076.0728999999997,33.88334565404329,-33.658315018315214,0.22503063572807958,1115.11,1114.17,0,0,0,0,-5.300000000000001,1114.29,1114.94,0
194,18.3,16656.3944,3743.9950999999996,31.911134128292225,-28.430283882779275,3.4808502455129595,1115.11,1114.11,0,0,0,0,-44.169999999999995,1113.77,1114.4,0
195,16.23,2048.2042,16008.9303,32.57765957446006,-75.0243141362091,-42.44665456174904,1114.24,1111.86,0,0,0,0,-40.09,1111.88,1112.46,0
196,12.7,5939.7648,8183.155299999999,9.518137405230371,-54.64724603851301,-45.12910863328264,1112.53,1111.67,0,0,0,0,-35.8,1111.42,1111.81,0
197,10.059999999999999,9203.832800000002,1990.9708000000003,26.809382476824254,-7.43825396825295,19.37112850857131,1114.01,1111.43,0,0,0,0,46.61999999999999,1113.19,1113.7,0
198,1.42,545.6596,1035.597,4.500000000001592,11.030000000001337,15.530000000002929,1113.72,1113.31,1113.35,2.5,1114.26,2.5,34.8,1113.74,1114.21,0
199,2.8,1114.2296000000001,2004.4278999999997,0.08163265306115025,-4.016964356600871,-3.9353317035397204,1114.34,1112.55,1111.45,2.94,0,0,-31.05,1112.41,1112.43,0
200,5.659999999999999,989.2927000000002,5304.3086,-2.545454545456365,-2.2760606060595077,-4.8215151515158725,1112.48,1111.42,0,0,1114.31,6.8,-6.049999999999998,1111.74,1112.36,0
201,16.309999999999995,13133.2639,5020.5017,58.229794265408565,-69.7360894660723,-11.506295200663754,1114.39,1111.63,0,0,0,0,16.1,1112.58,1112.59,0
202,5.109999999999999,1946.1605999999997,3737.3613,-2.2535254654983747,-28.387049245764082,-30.640574711262456,1112.71,1111.64,1110.5,8.29,0,0,-35.25000000000001,1111.63,1112.06,0
203,4.42,333.47400000000005,4579.593600000001,1.3333333333321207,-48.25170445956319,-46.91837112623107,1111.71,1111.19,1111.4,11.24,0,0,17.980000000000004,1111.43,1112.1,0
204,13.049999999999999,0,14503.754599999998,0,-2.7136678766259736,-2.7136678766259736,1111.44,1111.2,0,0,0,0,-30.900000000000002,1111.06,1111.18,-1
205,3.9000000000000004,955.7979,3377.8009999999995,2.611111111112526,-1.5949650349650315,1.0161460761474945,1111.53,1111.05,1110.5,8.29,0,0,11.510000000000002,1111.07,1111.34,0
206,12.100000000000001,5189.0100999999995,8253.203,2.3913488472303914,-0.3811991699726063,2.010149677257785,1111.61,1110.52,0,0,0,0,33.46,1111.66,1111.7,0
207,15.379999999999997,12927.120800000002,4168.601200000001,-3.720316680052106,-24.14555555555823,-27.865872235610336,1111.7,1111.25,0,0,0,0,10.13,1111.69,1111.7,0
208,10.850000000000001,5257.2447,6804.701,52.09795325754429,-12.743510101011891,39.3544431565324,1112.87,1111.09,0,0,0,0,29.010000000000005,1112.14,1112.87,0
209,16.189999999999998,10025.881300000001,7991.411399999999,19.61061891039693,-61.501537966531146,-41.89091905613421,1113.62,1111.76,0,0,0,0,-0.14999999999999858,1112.46,1112.47,0
210,6.48,3048.7461000000003,4161.183900000001,9.589449777033883,-8.384157509156879,1.205292267877004,1112.96,1112.44,0,0,0,0,-20.029999999999998,1112.44,1112.83,0
211,1,0,1112.44,0,0,0,1112.44,1112.44,1111.91,5,1112.48,1.18,-38.97,1112,1112.39,0
212,8.889999999999999,255.81060000000002,9629.847600000001,1.739130434783004,-1.3926950475155717,0.3464353872674324,1112.49,1111.82,0,0,1113.73,9.52,-6.899999999999997,1111.4,1112.37,0
213,5.85,5260.121900000001,1246.2721000000001,31.279341449018613,-18.591812865489555,12.687528583529055,1112.94,1111.48,0,0,0,0,22.35,1112.67,1113.24,0
214,12.169999999999998,13384.0245,166.9848,2.380410676430305,-35.50000000000561,-33.119589323575305,1113.69,1113.1,0,0,1114.48,18.47,32.58,1113.1,1113.61,0
215,0.18,0,200.35799999999998,0,0,0,1113.1,1113.1,1112.83,1.18,1113.58,2.5,-7.6100000000000065,1112.83,1113.58,0
