num,amount,buySum,sellSum,buySpread,sellSpread,spreadSum,maxPrice,minPrice,layerBidPrice,layerBidAmount,layerAskPrice,layerAskAmount,imbalance,bid1,ask1
20192,3.35,3285.3012,549.3839999999999,15.3421749303339,-21.968750000004178,-6.6265750696702765,1144.99,1143.98,1143.58,4.58,0,0,-38.849999999999994,1144.02,1144.93
20193,3.17,950.3054,2678.1213000000007,3.430640243902161,-22.3666666666702,-18.936026422768037,1144.96,1144.04,1144.03,3.26,0,0,33.370000000000005,1144.43,1144.6
20194,5.4399999999999995,4029.1178000000004,2197.331,7.020423497262129,-8.408130081304535,-1.3877065840424052,1144.87,1144.15,0,0,0,0,21.21,1144.66,1145.09
20195,2.3200000000000003,2428.1977,228.90950000000004,6.623791389166293,-15.000000000009095,-8.376208610842799,1145.66,1144.46,1144.53,3.85,1145.8,2.47,26.279999999999998,1145.06,1145.74
20196,3.29,0,3767.4047,0,-1.5989850659694453,-1.5989850659694453,1145.18,1145.06,1145.06,3.95,1145.79,3.38,-30.63,1145.07,1145.59
20197,5.54,1419.9031999999997,4923.8108999999995,-8.014862861379408,-4.699999999999515,-12.714862861378924,1145.31,1144.54,0,0,0,0,-36.13,1144.38,1145.17
20198,0.48,0,549.6115,0,-3.9784946236522956,-3.9784946236522956,1145.05,1144.94,1144.8,0.81,1145.53,1.22,30.03000000000001,1144.88,1145.53
20199,1.46,1477.701,194.63300000000004,3.958995564398195,-3.5882352941170583,0.3707602702811368,1145.53,1144.9,1144.02,2.03,1145.97,1.9,1.6899999999999995,1145.17,1145.61
20200,7.93,1191.3219,7892.1498,2.282190808541118,-53.93666967372963,-51.65447886518851,1145.55,1144.86,0,0,0,0,-19.499999999999996,1144.88,1145.39
20201,0.6300000000000001,0,721.2916000000001,0,1.6666666666499932,1.6666666666499932,1145.09,1144.83,1144.48,0.78,1145.33,0.65,-12.719999999999999,1144.83,1145.31
20202,0.56,0,641.1033,0,-23.827777777780362,-23.827777777780362,1144.95,1144.59,1144.59,0.65,1145.25,0.67,-24.699999999999996,1144.59,1145.25
20203,0.74,561.162,286.1547,17.522727272730457,-3.19696969696989,14.325757575760566,1145.25,1144.61,1144.45,0.8,1145.26,0.94,-10.43,1144.63,1145.19
20204,0.55,629.8445999999999,0,-8.166666666670608,0,-8.166666666670608,1145.21,1144.84,1144.76,0.79,1145.29,0.61,18.59,1144.77,1145.25
20205,1.18,1351.4819,0,5.351851851847826,0,5.351851851847826,1145.47,1145.21,1145.23,1.55,1145.58,1.28,23.990000000000002,1145.5,1145.57
20206,0.9200000000000002,733.1819,320.7401,3.5309523809524177,-13.566666666677065,-10.035714285724648,1145.62,1145.36,1145.24,1.4,1145.66,2.11,6.209999999999999,1145.6,1145.62
20207,21.929999999999996,8088.6497,17009.6568,123.51741942967143,-70.16015900532464,53.35726042434677,1145.6,1142.82,0,0,0,0,-35.239999999999995,1144.37,1144.96
20208,0.30000000000000004,22.8992,320.4009,0,-31.333333333326312,-31.333333333326312,1144.96,1143.93,1143.89,0.52,1144.85,0.43,-3.380000000000001,1143.95,1144.8
20209,0.8999999999999999,206.06459999999998,823.909,3.9166666666668943,-1.4724264705882335,2.4442401960786606,1144.81,1144.31,1143.21,1.11,1144.36,1,-25.29,1143.68,1143.71
20210,1.2700000000000002,114.4051,1338.112,26.99999999999818,-48.06373200442814,-21.06373200442996,1144.25,1143.46,1142.58,1.62,1143.87,1.54,-17.95,1143.73,1143.78
20211,2.08,2288.1018000000004,91.50130000000001,4.994686692510025,19.85714285713779,24.85182954964782,1144.43,1143.72,0,0,1144.9,2.34,26.36,1143.88,1144.23
20212,3.3700000000000006,3455.1745,400.4485,1.9239889005676405,-1.601190476192742,0.3227984243748985,1144.45,1143.8,0,0,0,0,15.57,1144.59,1144.96
20213,0.24,0,274.741,0,-9.500000000002728,-9.500000000002728,1144.77,1144.58,1144.58,0.47,1145.06,2.12,0.5600000000000023,1144.58,1144.96
20214,1.58,618.2982,1190.5027000000002,12.616161616161685,-22.94423076922923,-10.328069153067544,1145.2,1144.66,1143.57,2.37,1145.06,2.17,-21.33,1144.27,1144.86
20215,3.78,1121.6912000000002,3204.7841999999996,32.40570818072418,-48.69878380730942,-16.293075626585235,1144.96,1143.99,0,0,0,0,18.68,1144.15,1144.96
20216,0.18,137.3933,68.655,19.999999999998863,-11.83333333333394,8.166666666664923,1144.96,1144.25,1144.48,0.28,1144.96,0.75,19.04,1144.81,1144.96
20217,1.5000000000000002,892.8645,824.0948000000001,9.103174603170475,19.81984126983872,28.923015873009188,1144.89,1144.49,0,0,1144.75,2.39,-23.589999999999996,1143.97,1144.73
20218,0.16999999999999998,137.3541,57.2021,8.666666666666364,-58.749999999997726,-50.08333333333136,1144.71,1144.01,1143.84,0.17,1144.71,0.49,-8.969999999999999,1144.15,1144.67
